url,segment_no,cumle_icerigi,sozcuk_sayisi
https://www.skysports.com/f1/news/12433/11985695/f1-lewis-hamilton-on-empty-racing-without-fans-and-a-part-sabbatical,0,"F1: Lewis Hamilton on 'empty' racing without fans, and a 'part-sabbatical'",15
https://www.skysports.com/f1/news/12433/11985438/daniel-ricciardo-and-renault-latest-cyril-abiteboul-on-f1-2021-talks,0,Daniel Ricciardo and Renault latest: Cyril Abiteboul on F1 2021 talks,12
https://www.skysports.com/f1/news/12433/11985268/kevin-magnussen-george-russell-on-how-f1-grid-would-fare-on-return,0,"Kevin Magnussen, George Russell on how F1 grid would fare on return",13
https://www.skysports.com/f1/news/12433/11984831/formula-1-tracks-not-on-original-calendar-could-host-2020-races,0,Formula 1: Tracks not on original calendar could host 2020 races,12
https://www.skysports.com/f1/news/12433/11984499/sergio-aguero-to-race-in-virtual-gp-against-alex-albon-charles-leclerc,0,"Sergio Aguero to race in Virtual GP against Alex Albon, Charles Leclerc",13
https://www.skysports.com/f1/news/12433/11983958/f1-latest-the-ongoing-plans-and-talks-for-2020-and-beyond,0,F1 latest: The ongoing plans and talks for 2020 and beyond,12
https://www.skysports.com/f1/news/12476/11984034/williams-staff-safety-paramount-before-f1s-return-sky-f1-vodcast,0,Williams: Staff safety 'paramount' before F1's return - Sky F1 Vodcast,14
https://www.skysports.com/f1/live-blog/12538/11905328/the-f1-gossip-column-live,0,The F1 Gossip Column LIVE!,6
https://www.skysports.com/f1/news/12472/11983541/how-is-an-f1-car-born-mercedes-special-before-w11s-first-run,0,How is an F1 car born?,7
https://www.skysports.com/f1/news/12472/11983541/how-is-an-f1-car-born-mercedes-special-before-w11s-first-run,1,Mercedes special before W11's first run,7
https://www.skysports.com/f1/news/12433/11983471/lando-norris-says-indy-irace-crash-with-simon-pagenaud-was-selfish,0,Lando Norris says Indy iRace crash with Simon Pagenaud was 'selfish',12
https://www.skysports.com/f1/news/12433/11983360/f1-new-rules-definitely-coming-in-2022-not-2023-says-ross-brawn,0,"F1: New rules 'definitely' coming in 2022, not 2023, says Ross Brawn",16
https://www.skysports.com/f1/news/12433/11982828/f1s-ross-brawn-budget-cap-of-145m-set-for-2021-agreement,0,F1's Ross Brawn: Budget cap of $145m set for 2021 agreement,14
https://www.skysports.com/f1/news/12433/11982945/lewis-hamilton-backed-by-captain-tom-moore-for-f1-titles-record,0,Lewis Hamilton backed by Captain Tom Moore for F1 titles record,11
https://www.skysports.com/f1/news/12433/11982827/ross-brawn-reveals-f1s-bubble-of-isolation-plan-for-2020-races,0,Ross Brawn reveals F1's 'bubble of isolation' plan for 2020 races,13
https://www.skysports.com/f1/news/12433/11982660/f1-virtual-gp-alex-albon-wins-after-race-long-charles-leclerc-duel,0,F1 Virtual GP: Alex Albon wins after race-long Charles Leclerc duel,12
https://www.skysports.com/f1/live-blog/30125/11982607/virtual-gp-at-interlagos-live,0,Albon beats Leclerc in thriller review,6
https://www.skysports.com/f1/news/12433/11982507/f1-virtual-gp-charles-leclerc-ben-stokes-stuart-broad-lando-norris-on-the-interlagos-grid,0,"F1 Virtual GP: Charles Leclerc, Ben Stokes, Stuart Broad, Lando Norris on the Interlagos grid",19
https://www.skysports.com/f1/news/12433/11981823/captain-tom-moore-the-national-hero-on-his-love-of-formula-1,0,Captain Tom Moore: The national hero on his love of Formula 1,13
https://www.skysports.com/f1/news/12433/11981057/will-sebastian-vettel-sign-new-deal-at-ferrari-sky-f1-on-2021-options,0,Will Sebastian Vettel sign new deal at Ferrari?,9
https://www.skysports.com/f1/news/12433/11981057/will-sebastian-vettel-sign-new-deal-at-ferrari-sky-f1-on-2021-options,1,Sky F1 on 2021 options,5
https://www.skysports.com/f1/news/12433/11981558/coronavirus-hungarian-gp-planning-for-behind-closed-doors-race,0,Coronavirus: Hungarian GP planning for behind-closed-doors race,8
